slug,title,current_creator,connection_types,clicks,impressions,helena_tags,should_be_authored_by_helena,live_url
jubel-best-gluten-free-fruit-beer,"Have you tried Jubel: the exciting, new style of beer?",HelenaNicklin,authored_by_her,122,147197,,yes,https://www.thethreedrinkers.com/magazine-content/jubel-best-gluten-free-fruit-beer
key-styles-of-malbec-argentina-cahors,What are the key styles of Malbec?,helena@thethreedrinkers.com,authored_by_her|tagged_helena,36,9297,helena nicklin|helenasips,yes,https://www.thethreedrinkers.com/magazine-content/key-styles-of-malbec-argentina-cahors
krug-vs-dom-perignon-champagne,Krug Vs Dom Pérignon: The Prince &amp; The Pauper,HelenaNicklin,authored_by_her|inline_byline|tagged_helena|body_mentions,2101,58288,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/krug-vs-dom-perignon-champagne
light-importance-everyday-mental-health-sad-syndrome,How Important is Light in our Everyday Life?,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/light-importance-everyday-mental-health-sad-syndrome
light-red-wine-styles,Lighter-bodied red wines styles to try,HelenaNicklin,authored_by_her|tagged_helena|image_mentions,0,0,helena nicklin|helena sips,yes,https://www.thethreedrinkers.com/magazine-content/light-red-wine-styles
love-whisky-buyer-collector-or-investor-you-need-to-know-about-cask-trade,"Whisky buyer, collector or investor? You need to know about Cask Trade.",HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/love-whisky-buyer-collector-or-investor-you-need-to-know-about-cask-trade
malbec-and-uco-valley-graffigna-malbec,The Story of Malbec and the Uco Valley,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/malbec-and-uco-valley-graffigna-malbec
marvellous-malbecs-under-15-for-malbec-day,Marvellous Malbecs under £15 for Malbec Day,HelenaNicklin,authored_by_her|inline_byline|body_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/marvellous-malbecs-under-15-for-malbec-day
meet-the-french-wine-region-the-experts-have-their-eyes-on-ventoux,Meet the French wine region the experts have their eyes on: Ventoux AOC,helena@thethreedrinkers.com,authored_by_her|image_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/meet-the-french-wine-region-the-experts-have-their-eyes-on-ventoux
miov0x17uxflosbclnhgylvwbrc4qi,TalkTV: Autumnal Wines for Organic September,adrian@thethreedrinkers.com,tagged_helena,0,0,helena nicklin,no,https://www.thethreedrinkers.com/magazine-content/miov0x17uxflosbclnhgylvwbrc4qi
most-influential-women-in-drinks,5 Women in Drinks to Toast!,HelenaNicklin,authored_by_her|inline_byline|body_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/most-influential-women-in-drinks
must-try-english-sparkling-wine,10 English Wines You Need To Try,HelenaNicklin,authored_by_her|tagged_helena,0,0,Helena Nicklin,yes,https://www.thethreedrinkers.com/magazine-content/must-try-english-sparkling-wine
must-try-luxury-cognac,Luxury Cognacs You Need to Try,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/must-try-luxury-cognac
must-try-no-low-drinks,6 Must-Try No and Low Drinks,HelenaNicklin,authored_by_her|image_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/must-try-no-low-drinks
nj1cy22bh8sm8zrdyaxelb734g7pg3,talkRADIO: Hot Cross Bun flavoured booze for Easter,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin|helenasips,yes,https://www.thethreedrinkers.com/magazine-content/nj1cy22bh8sm8zrdyaxelb734g7pg3
no-low-alcohol-best-drinks,Mindful Drinking: Premium no and low alcohol drinks you'll want to sip all evening,HelenaNicklin,authored_by_her|inline_byline|body_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/no-low-alcohol-best-drinks
no-low-alcohol-best-drinks-christmas-present,The Best No-Low Alcohol To Drink and Gift for Christmas,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/no-low-alcohol-best-drinks-christmas-present
one-drink-three-ways-albarino-mar-de-frades-rias-baixas-spain,"One Drink, Three Ways: Albariño Mar de Frades",HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-albarino-mar-de-frades-rias-baixas-spain
one-drink-three-ways-aloha-65-spirit-cocktails,"One Drink, Three Ways: Aloha 65",HelenaNicklin,authored_by_her|image_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-aloha-65-spirit-cocktails
one-drink-three-ways-barefoot-wine-cocktails,"One Drink, Three Ways: Wine Cocktails with Barefoot Wine",HelenaNicklin,authored_by_her|tagged_helena|image_mentions,66,12703,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-barefoot-wine-cocktails
one-drink-three-ways-belvedere-organic-infusions,"One Drink, Three Ways: Belvedere Organic Infusions",HelenaNicklin,authored_by_her,83,7391,,yes,https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-belvedere-organic-infusions
one-drink-three-ways-brown-brothers-orange-muscat-and-flora-sweet-wine-cocktails,"One Drink, Three Ways: Brown Brothers Orange Muscat &amp; Flora",HelenaNicklin,authored_by_her,60,8524,,yes,https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-brown-brothers-orange-muscat-and-flora-sweet-wine-cocktails
one-drink-three-ways-coole-swan-irish-cream-white-chocolate-cocktails,"One Drink, Three Ways: Coole Swan Irish Cream",HelenaNicklin,authored_by_her,464,150591,,yes,https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-coole-swan-irish-cream-white-chocolate-cocktails
one-drink-three-ways-don-papa-rum-cocktails-the-three-drinkers,"One Drink, Three Ways: Don Papa Rum",HelenaNicklin,authored_by_her,210,19749,,yes,https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-don-papa-rum-cocktails-the-three-drinkers
one-drink-three-ways-franklin-and-sons-mandarin-and-ginger-soda-cocktails,"One Drink, Three Ways: Franklin and sons Mandarin and Ginger Soda",SophieFurukawa,tagged_helena|image_mentions,0,0,helena nicklin,no,https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-franklin-and-sons-mandarin-and-ginger-soda-cocktails
one-drink-three-ways-glenmorangie-x,"One Drink, Three Ways: X by Glenmorangie",HelenaNicklin,authored_by_her,142,8194,,yes,https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-glenmorangie-x
one-drink-three-ways-london-dry-gin-tanqueray,"One Drink, Three Ways: London Dry Gin (Tanqueray)",HelenaNicklin,authored_by_her|tagged_helena|image_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-london-dry-gin-tanqueray
one-drink-three-ways-noilly-prat-original-dry-vermouth-cocktail,"One Drink, Three Ways: Noilly Prat Original Dry Vermouth",HelenaNicklin,authored_by_her|tagged_helena|image_mentions,884,35288,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-noilly-prat-original-dry-vermouth-cocktail
one-drink-three-ways-remy-martin-vsop-cognac,"One Drink, Three Ways: Remy Martin VSOP Cognac",HelenaNicklin,authored_by_her|tagged_helena|image_mentions,259,131957,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-remy-martin-vsop-cognac
one-drink-three-ways-the-glenturret-peat-smoked,"One Drink, Three Ways: The Glenturret 10 Year Old Peat Smoked",HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-the-glenturret-peat-smoked
one-drink-three-ways-the-glenturret-triple-wood,"One Drink, Three Ways: The Glenturret Triple Wood",HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-the-glenturret-triple-wood
one-minute-wine-ace-pinot-noir,One Minute Wine Ace: Pinot Noir,HelenaNicklin,authored_by_her|inline_byline|tagged_helena|body_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/one-minute-wine-ace-pinot-noir
one-minute-wine-ace-sauvignon-blanc,One Minute Wine Ace: Sauvignon Blanc,HelenaNicklin,authored_by_her|inline_byline|image_mentions|body_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/one-minute-wine-ace-sauvignon-blanc
one-minute-wine-ace-tempranillo-grape-guide-tempranillo-day,One Minute Wine Ace: Tempranillo,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/one-minute-wine-ace-tempranillo-grape-guide-tempranillo-day
one-minute-wine-ace-wine-style-guide-cabernet-sauvignon,One Minute Wine Ace: Cabernet Sauvignon,HelenaNicklin,authored_by_her|tagged_helena|image_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/one-minute-wine-ace-wine-style-guide-cabernet-sauvignon
online-home-wine-tasting-tips,Tips for Online and Home Wine Tastings,HelenaNicklin,authored_by_her|inline_byline|body_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/online-home-wine-tasting-tips
perfect-food-pairings-for-argentinian-malbec,Five Perfect Food Pairings for Argentinian Malbec,HelenaNicklin,authored_by_her,441,52969,,yes,https://www.thethreedrinkers.com/magazine-content/perfect-food-pairings-for-argentinian-malbec
popular-scotch-whisky-distilleries-jura-fettercairn-dalmore,"A Trilogy of Fine, Scotch Whisky Distilleries to Discover",HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/popular-scotch-whisky-distilleries-jura-fettercairn-dalmore
premium-californian-wine-producers,Premium Californian Wine: 3 Must-Know Producers,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/premium-californian-wine-producers
premixed-negroni-summer-cocktails,6 Perfectly Premixed Negronis for the Summer,HelenaNicklin,authored_by_her|inline_byline|image_mentions|body_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/premixed-negroni-summer-cocktails
rasteau-aoc-wine-guide-rhone-french-wine,Rasteau: Your New Go-To Winter Red!,HelenaNicklin,authored_by_her|inline_byline|tagged_helena|image_mentions|body_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/rasteau-aoc-wine-guide-rhone-french-wine
red-wines-for-halloween-2022,Red Wines for Halloween 2022,HelenaNicklin,authored_by_her|inline_byline|tagged_helena|body_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/red-wines-for-halloween-2022
redbreast,Enter The Redbreast Whiskey Ballot,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/redbreast
rediscovering-cognac-focus-on-tercet-by-remy-martin,Rediscovering Cognac: Focus on Tercet by Remy Martin,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/rediscovering-cognac-focus-on-tercet-by-remy-martin
romantic-gin-cocktail-recipes-cotswolds-distillery,Saucy Gin Cocktails Perfect for Romantic Nights,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/romantic-gin-cocktail-recipes-cotswolds-distillery
roussillon-wine,Rediscover Roussillon Wines,helena@thethreedrinkers.com,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/roussillon-wine
rude-name-drinks,12 Hilariously Unfortunate (and Downright Naughty) Drinks Names,HelenaNicklin,authored_by_her,1058,45156,,yes,https://www.thethreedrinkers.com/magazine-content/rude-name-drinks
sake-beginners-guide,A Beginner’s Guide to Sake,adrian@thethreedrinkers.com,inline_byline|body_mentions,58,23316,,yes,https://www.thethreedrinkers.com/magazine-content/sake-beginners-guide
santorini-wines-your-abc-guide,Santorini Wines: Your ABC Guide,HelenaNicklin,authored_by_her|image_mentions,37,9487,,yes,https://www.thethreedrinkers.com/magazine-content/santorini-wines-your-abc-guide
scotch-whisky-cocktails-irn-bru-cocktail-for-burns-night,TalkTV: Scottish Drinks for Burns Night,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/scotch-whisky-cocktails-irn-bru-cocktail-for-burns-night
sherry-guide-sherry-week,Your ABC guide to Sherry Styles,HelenaNicklin,authored_by_her|tagged_helena|image_mentions,0,0,tapahelena nicklin|helena sips,yes,https://www.thethreedrinkers.com/magazine-content/sherry-guide-sherry-week
silverhand-estate,The new face of English Wine: Silverhand Estate,HelenaNicklin,authored_by_her|inline_byline|tagged_helena|image_mentions|body_mentions,46,7929,Helena Nicklin|HelenaSips,yes,https://www.thethreedrinkers.com/magazine-content/silverhand-estate
simple-smoky-whisky-cocktails-bbq,"3 Simple, Smoky, Whisky Cocktails For Your BBQ",HelenaNicklin,authored_by_her|inline_byline|body_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/simple-smoky-whisky-cocktails-bbq
spanish-wine-old-vines-garnacha-grenache,What's so good about old vines?,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/spanish-wine-old-vines-garnacha-grenache
spending-christmas-on-a-yacht,Wine &amp; gifts for Christmas on a yacht,HelenaNicklin,authored_by_her|inline_byline|tagged_helena|body_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/spending-christmas-on-a-yacht
spotlight-on-greyfriars-vineyard-surrey-hills-england,"Spotlight on: Greyfriars Vineyard, Surrey Hills, England",helena@thethreedrinkers.com,authored_by_her|tagged_helena,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/spotlight-on-greyfriars-vineyard-surrey-hills-england
spring-wines-with-kevin-osullivan-on-talk-radio,Spring Reds: Kevin O'Sullivan on Talk Radio,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin|helena|helena nicklin wine expert radio,yes,https://www.thethreedrinkers.com/magazine-content/spring-wines-with-kevin-osullivan-on-talk-radio
super-premium-vodka-belvedere-heritage-176-rye-vodka,Super-Premium ‘Vodka’: Belvedere Heritage 176,HelenaNicklin,authored_by_her|inline_byline|image_mentions|body_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/super-premium-vodka-belvedere-heritage-176-rye-vodka
talk-radio-best-champagne-thursday-club-helena-nicklin,Thursday Club with talkRADIO TV: Champagne!,helena@thethreedrinkers.com,authored_by_her|slug_mentions|tagged_helena|image_mentions,0,0,helena nicklin|helena sips,yes,https://www.thethreedrinkers.com/magazine-content/talk-radio-best-champagne-thursday-club-helena-nicklin
talk-radio-helena-nicklin-festive-drinks,Thursday Club with Talk Radio: Festive Aperitifs,HelenaNicklin,authored_by_her|slug_mentions|tagged_helena|image_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/talk-radio-helena-nicklin-festive-drinks
talk-radio-irish-drinks-st-patricks-day,talk RADIO: Irish Drinks for St Patrick's Day!,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/talk-radio-irish-drinks-st-patricks-day
talk-radio-the-best-boxed-wines,Thursday Club with Talk Radio: Boxed Wine,helena@thethreedrinkers.com,authored_by_her|tagged_helena,0,0,helena nicklin\|helena sips,yes,https://www.thethreedrinkers.com/magazine-content/talk-radio-the-best-boxed-wines
talk-tv-the-best-boxed-wine-reasons-to-buy-box-wine,talkTV: Beautiful Boxed Wine!,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena niucklin,yes,https://www.thethreedrinkers.com/magazine-content/talk-tv-the-best-boxed-wine-reasons-to-buy-box-wine
talkradio-alternative-white-wines-for-spring,talkRADIO: Alternative White Wines for Spring,adrian@thethreedrinkers.com,tagged_helena|image_mentions,0,0,helena nicklin|helenasips,no,https://www.thethreedrinkers.com/magazine-content/talkradio-alternative-white-wines-for-spring
talkradio-brands-that-do-good,TalkRADIO: Brands that do good,helena@thethreedrinkers.com,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/talkradio-brands-that-do-good
talkradio-drinks-supporting-ukraine,talkRADIO: Drinks supporting Ukraine,helena@thethreedrinkers.com,authored_by_her|tagged_helena,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/talkradio-drinks-supporting-ukraine
talktv-award-winning-wines-from-spain,TalkTV: Award-Winning Wines From Spain,HelenaNicklin,authored_by_her|tagged_helena|image_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/talktv-award-winning-wines-from-spain
talktv-cabernet-sauvignon-blends-international-cabernet-day,talkTV: Cabernet Blends for Cabernet Day!,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/talktv-cabernet-sauvignon-blends-international-cabernet-day
talktv-drinks-to-celebrate-chinese-new-year,TalkTV: Drinks to Celebrate Chinese New Year,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin talk radio chinese wine,yes,https://www.thethreedrinkers.com/magazine-content/talktv-drinks-to-celebrate-chinese-new-year
talktv-german-wines-for-winter,TalkTV: German Wines for Winter,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/talktv-german-wines-for-winter
talktv-jubilee-drinkies,talkTV: Jubilee Drinkies!,HelenaNicklin,authored_by_her|tagged_helena,0,0,talktv helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/talktv-jubilee-drinkies
talktv-perfect-halloween-wines,talkTV: Perfect Halloween Wines,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/talktv-perfect-halloween-wines
talktv-pinotage-wines-or-pinotage-day,TalkTV: Pinotage Wines for Pinotage Day,adrian@thethreedrinkers.com,tagged_helena,0,0,helena nicklin|helena sips,no,https://www.thethreedrinkers.com/magazine-content/talktv-pinotage-wines-or-pinotage-day
talktv-retro-liqueurs,TalkTV: Retro Liqueurs,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/talktv-retro-liqueurs
talktv-summer-wine-from-the-south-of-france,TalkTV: Summer wine from the South of France,HelenaNicklin,authored_by_her|tagged_helena|image_mentions,0,0,helena nicklin|helena sips,yes,https://www.thethreedrinkers.com/magazine-content/talktv-summer-wine-from-the-south-of-france
talktv-what-is-the-difference-between-shiraz-and-syrah,talkTV: Shiraz and Syrah,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/talktv-what-is-the-difference-between-shiraz-and-syrah
talktv-world-cup-wines,TalkTV: World Cup Wine &amp; Gin!,adrian@thethreedrinkers.com,tagged_helena,0,0,talk tv helena nicklin|helena sips,no,https://www.thethreedrinkers.com/magazine-content/talktv-world-cup-wines
tasting-terroir-wakefield-jaraman-chardonnay,Tasting Terroir: Wakefield ‘Jaraman’ Chardonnay,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/tasting-terroir-wakefield-jaraman-chardonnay
tasting-the-most-famous-wine-in-the-world,Tasting the Most Famous Wine in the World,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/tasting-the-most-famous-wine-in-the-world
the-10-best-martini-variations,The 10 Best Martini Variations,TheThreeDrinkers,body_mentions,0,0,,no,https://www.thethreedrinkers.com/magazine-content/the-10-best-martini-variations
the-best-albarino-wine-talk-radio-mike-graham,Thursday Club with talk RADIO: Albariño for Albariño Day!,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/the-best-albarino-wine-talk-radio-mike-graham
the-best-boxed-wine-2021,The Best Boxed Wine for 2021,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin|helena sips,yes,https://www.thethreedrinkers.com/magazine-content/the-best-boxed-wine-2021
the-best-drinks-with-curry,What you Should be Drinking with Curry,HelenaNicklin,authored_by_her|inline_byline|body_mentions,920,47428,,yes,https://www.thethreedrinkers.com/magazine-content/the-best-drinks-with-curry
the-best-english-wines-to-try-this-summer,The Best English Wines To Try This Summer,HelenaNicklin,authored_by_her|tagged_helena|image_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/the-best-english-wines-to-try-this-summer
the-best-hard-seltzers,The Best Hard Seltzers Right Now!,helena@thethreedrinkers.com,authored_by_her|tagged_helena,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/the-best-hard-seltzers
the-best-no-and-low-alcohol-drinks,The best no and low alcohol drinks,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/the-best-no-and-low-alcohol-drinks
the-best-red-wines-to-have-chilled,The Best Red Wines To Have Chilled,HelenaNicklin,authored_by_her|tagged_helena,0,0,talk radiohelena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/the-best-red-wines-to-have-chilled
the-best-whisky-to-buy-scotch,The Three Drinkers' Definitive Scotch Whisky Buying Guide 2019,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/the-best-whisky-to-buy-scotch
the-bring-a-bottle-podcast-episode-59,The Bring a Bottle Podcast Episode 59,SophieFurukawa,tagged_helena,0,0,Helena Nicklin,no,https://www.thethreedrinkers.com/magazine-content/the-bring-a-bottle-podcast-episode-59
the-bring-a-bottle-podcast-episode-60,The Bring a Bottle Podcast: Episode 60,SophieFurukawa,image_mentions,0,0,,no,https://www.thethreedrinkers.com/magazine-content/the-bring-a-bottle-podcast-episode-60
the-bring-a-bottle-podcast-episode-63,The Bring a Bottle Podcast: Episode 63,TheThreeDrinkers,tagged_helena,0,0,Helena Nicklin,no,https://www.thethreedrinkers.com/magazine-content/the-bring-a-bottle-podcast-episode-63
the-bring-a-bottle-podcast-episode-65,The Bring a Bottle Podcast: Episode 65,SophieFurukawa,image_mentions,0,0,,no,https://www.thethreedrinkers.com/magazine-content/the-bring-a-bottle-podcast-episode-65
the-bring-a-bottle-podcast-episode-75,The Bring a Bottle Podcast: Episode 75,TheThreeDrinkers,tagged_helena,0,0,Helena Nicklin,no,https://www.thethreedrinkers.com/magazine-content/the-bring-a-bottle-podcast-episode-75
the-bring-a-bottle-podcast-episode-76,The Bring a Bottle Podcast: Episode 76,TheThreeDrinkers,tagged_helena,0,0,Helena Nicklin,no,https://www.thethreedrinkers.com/magazine-content/the-bring-a-bottle-podcast-episode-76
the-bring-a-bottle-podcast-episode-77,The Bring a Bottle Podcast: Episode 77,TheThreeDrinkers,tagged_helena,0,0,Helena Nicklin,no,https://www.thethreedrinkers.com/magazine-content/the-bring-a-bottle-podcast-episode-77
the-bring-a-bottle-podcast-episode-78,The Bring a Bottle Podcast: Episode 78,TheThreeDrinkers,tagged_helena,0,0,Helena Nicklin,no,https://www.thethreedrinkers.com/magazine-content/the-bring-a-bottle-podcast-episode-78
the-bring-a-bottle-podcast-episode-84,The Bring a Bottle Podcast: Episode 84,TheThreeDrinkers,tagged_helena,0,0,Helena Nicklin,no,https://www.thethreedrinkers.com/magazine-content/the-bring-a-bottle-podcast-episode-84
the-main-styles-of-tequila,The main styles of tequila,HelenaNicklin,authored_by_her,74,81301,,yes,https://www.thethreedrinkers.com/magazine-content/the-main-styles-of-tequila
the-story-of-city-of-london-distillery,The Story of City of London Distillery,helena@thethreedrinkers.com,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/the-story-of-city-of-london-distillery
the-three-drinkers-in-cognac,The Three Drinkers Return for a Third Series on Amazon Prime!,TheThreeDrinkers,tagged_helena|image_mentions|body_mentions,0,0,Helena Nicklin,no,https://www.thethreedrinkers.com/magazine-content/the-three-drinkers-in-cognac
the-three-drinkers-in-cognac-wins-award,The Three Drinkers in Cognac Wins Award For ‘Cultural Contribution to The Spirits Industry’,SophieFurukawa,body_mentions,0,0,,no,https://www.thethreedrinkers.com/magazine-content/the-three-drinkers-in-cognac-wins-award
the-three-drinkers-in-ireland-tv-series,Announcing TV Series 2: The Three Drinkers in Ireland,TheThreeDrinkers,body_mentions,48,6695,,no,https://www.thethreedrinkers.com/magazine-content/the-three-drinkers-in-ireland-tv-series
the-three-drinkers-in-ireland-wins-drinks-business-best-contribution-to-tourism-award,The Three Drinkers in Ireland Wins Award for ‘Best Contribution to Wine and Spirits Tourism’,TheThreeDrinkers,image_mentions|body_mentions,0,0,,no,https://www.thethreedrinkers.com/magazine-content/the-three-drinkers-in-ireland-wins-drinks-business-best-contribution-to-tourism-award
the-three-drinkers-in-ireland-wins-spirits-business-award,The Three Drinkers In Ireland Wins Award For ‘Cultural Contribution To The Spirits Industry’,SophieFurukawa,image_mentions|body_mentions,0,0,,no,https://www.thethreedrinkers.com/magazine-content/the-three-drinkers-in-ireland-wins-spirits-business-award
the-three-drinkers-irish-whiskey,The Three Drinkers launch an Irish Whiskey,TheThreeDrinkers,image_mentions|body_mentions,0,0,,no,https://www.thethreedrinkers.com/magazine-content/the-three-drinkers-irish-whiskey
the-wine-society-top-picks-for-spring-amp-summer-2019,The Wine Society: Top picks for Spring &amp; Summer 2019,HelenaNicklin,authored_by_her|inline_byline|tagged_helena|body_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/the-wine-society-top-picks-for-spring-amp-summer-2019
the-worlds-most-popular-spirit-youve-never-heard-of,This is the world’s most popular spirit. Have you heard of it?,helena@thethreedrinkers.com,authored_by_her|inline_byline|body_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/the-worlds-most-popular-spirit-youve-never-heard-of
thursday-club-with-talk-radio-barbecue-wines,Thursday Club with Talk Radio: Barbecue Wines,HelenaNicklin,authored_by_her|tagged_helena|image_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-barbecue-wines
thursday-club-with-talk-radio-bargain-wines-from-aldi,Thursday Club with talk RADIO: Bargain wines from Aldi,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-bargain-wines-from-aldi
thursday-club-with-talk-radio-best-malbec-wines,Thursday Club with Talk Radio: Malbec,HelenaNicklin,authored_by_her|tagged_helena|image_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-best-malbec-wines
thursday-club-with-talk-radio-classic-iberian-wines,Thursday Club with talk RADIO: Classic Iberian Wines,HelenaNicklin,authored_by_her|tagged_helena|image_mentions,0,0,helena,yes,https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-classic-iberian-wines
thursday-club-with-talk-radio-cremant-de-bourgogne-loire-bordeaux,Thursday Club with talk RADIO: Crémant,HelenaNicklin,authored_by_her|tagged_helena,0,0,helenasips|helena nicklin|helena nicklin wine expert radio,yes,https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-cremant-de-bourgogne-loire-bordeaux
thursday-club-with-talk-radio-great-value-italian-wines,Thursday Club with talk RADIO: Great Value Italian Wines,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin|helenasips,yes,https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-great-value-italian-wines
thursday-club-with-talk-radio-italian-nebbiolo-barolo-barbaresco,Thursday Club with Talk Radio: Italian Nebbiolo,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena sip|helena sips,yes,https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-italian-nebbiolo-barolo-barbaresco
thursday-club-with-talk-radio-off-the-beaten-track-with-the-wine-society,Thursday Club with talk RADIO: Off the beaten track with The Wine Society,adrian@thethreedrinkers.com,tagged_helena|image_mentions,0,0,helena nicklin,no,https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-off-the-beaten-track-with-the-wine-society
