slug,title,date_published,category,top_3_tags,word_count,gsc_clicks_16mo,gsc_impressions_16mo,avg_position,action,reassign_to,first_200_chars,live_url,redirect_to
what-is-cairanne-and-lirac-rhone-wine,Focus on Cairanne &amp; Lirac: Two Côtes du Rhône Cru,2021-11-23,Wine,"wine, rhone, cotes du rhone",1002,0,0,,drop,,"[caption id="""" align=""alignnone"" width=""880""] Photo credit: Liam Dickson @dicksonliam [/caption] A look at two lesser known Côtes du Rhône ‘Cru’ Côtes du Rhône wine fans, listen up. Did you know that ",https://www.thethreedrinkers.com/magazine-content/what-is-cairanne-and-lirac-rhone-wine,
the-best-boxed-wine-2021,The Best Boxed Wine for 2021,2021-11-18,Wine,"wine, boxed wine, bib wine company",777,0,0,,drop,,"You will have seen us extol the virtues of the new face of boxed wine. We’ve shouted about it on the radio, we’ve given you a few goodies to try and why is this? So many reasons, the key ones being mu",https://www.thethreedrinkers.com/magazine-content/the-best-boxed-wine-2021,
what-is-beaujolais-day,Thursday Club with TalkRadio: Beaujolais Day!,2021-11-18,Thursday Club,"wine, beaujolais, beaujolais villages",536,0,0,,drop,,"Today is Beaujolais Nouveau Day! What is Beaujolais day? Well, Beaujolais is a wine region in France where the red wines are made from the Gamay grape, but you can also get a few whites and pinks too.",https://www.thethreedrinkers.com/magazine-content/what-is-beaujolais-day,
best-whisky-cocktails-jura-sunset,The Jura Sunset,2021-02-01,Cocktails,"jura, Jura 10, jura 10 cocktails",213,194,1997,9.1,,AidySmith,"One of Jura Whisky’s signature serves, this is a simple, beautifully balanced drink that works brilliantly as an arrival drink or an apéritif. Bittersweet and citrussy, the Jura Sunset is ideal for ne",https://www.thethreedrinkers.com/magazine-content/best-whisky-cocktails-jura-sunset,
best-whisky-and-chocolate-pairings,5 Epic Whisky and Chocolate Pairings&nbsp;,2022-04-11,"Whiskey, Guides, Spirits","whisky, whiskey, bourbon",581,193,37013,18.9,drop,,"By Helena Nicklin Whisky and chocolate is a match you might not immediately think of but once you try it, you will never go back! The warming alcohol cleanses the palate perfectly while the individual",https://www.thethreedrinkers.com/magazine-content/best-whisky-and-chocolate-pairings,
talk-radio-best-champagne-thursday-club-helena-nicklin,Thursday Club with talkRADIO TV: Champagne!,2021-11-10,Thursday Club,"champagne, Bollinger, helena nicklin",372,0,0,,drop,,"The Supermarket Champagne Comte de Senneval NV A particularly savory champagne this, umami-esque notes of smoke and caramel with some herbaceous notes. It also has a wine-like weight and hint of sweet",https://www.thethreedrinkers.com/magazine-content/talk-radio-best-champagne-thursday-club-helena-nicklin,
top-rated-celebrity-wines,Thursday Club with Talk Radio: Celebrity wines part 2!,2021-11-04,Thursday Club,"wine, celebrity wine, helena nicklin",448,0,0,,drop,,"Everyone from pop stars to presenters, cricketers to chefs are having a go at making wine these days and they just keep coming! It’s fair to say that they don’t physically make it exactly, but in most",https://www.thethreedrinkers.com/magazine-content/top-rated-celebrity-wines,
talk-radio-the-best-boxed-wines,Thursday Club with Talk Radio: Boxed Wine,2021-10-27,Thursday Club,"boxed wine, bib wine company, when in rome wine",501,0,0,,drop,,"Do you whisper it or shout it out loudly and proudly? Boxed wine, bag in box wine or even bagnums these days (see what they did there?) are on the up with consumers and for many good reasons too. Qual",https://www.thethreedrinkers.com/magazine-content/talk-radio-the-best-boxed-wines,
best-cotes-du-rhone-wines,Thursday Club with Talk RADIO: Côtes-du-Rhône,2021-10-07,Thursday Club,"rhone, helena nicklin, talk radio",471,0,0,,drop,,"As the temperatures drop in October, I often find myself reaching for wines from an old favourite region in France: Côtes-du-Rhône AOC. If you’ve been following us for a while, you’ll see how I like t",https://www.thethreedrinkers.com/magazine-content/best-cotes-du-rhone-wines,
do-rueda-wine-region-spain-best-wines,DO Rueda: Spiritual home of the Verdejo Grape,2021-09-29,Wine,"rueda, spanish wine, best spanish wine",1220,0,0,,drop,,"With all eyes back on Spain for deliciously versatile and food friendly wines that can also dazzle at the top end, we look to DO Rueda to see what’s new and why we should be paying attention to this r",https://www.thethreedrinkers.com/magazine-content/do-rueda-wine-region-spain-best-wines,
one-drink-three-ways-the-glenturret-peat-smoked,"One Drink, Three Ways: The Glenturret 10 Year Old Peat Smoked",2021-09-29,"Spirits, Whisky, Cocktails","one drink three ways, whisky, cocktails",465,0,0,,drop,,"One Drink, Three Ways is the signature feature by The Three Drinkers. Join The Three Drinkers’ Helena, Aidy and Colin as they take one bottle and create a trio of phenomenal serves which you can enjoy",https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-the-glenturret-peat-smoked,
thursday-club-with-talk-radio-white-wine-from-rueda-spain,"Thursday Club with talk RADIO: White Wine from Rueda, Spain",2021-09-29,Thursday Club,"talkradio, helena nicklin, rueda",403,0,0,,drop,,"What and where is DO Rueda? Nestled up in the central-north part of Spain, with Galicia to the west and hugging the northeastern corner of Portugal, we find the wine region of Rueda. It forms part of ",https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-white-wine-from-rueda-spain,
what-is-wine-finished-whisky,What is Wine Finished Whisky?,2021-09-23,"Wine, Whisky","whisky, the three drinkers, Glenmorangie",1002,0,0,,drop,,"By Helena Nicklin There’s no drink that conjures up the spirit of cosy dark nights by the fire quite like whisky. Even for the many who don’t drink it, the aroma of whisky and wood smoke evokes warm m",https://www.thethreedrinkers.com/magazine-content/what-is-wine-finished-whisky,
one-drink-three-ways-the-glenturret-triple-wood,"One Drink, Three Ways: The Glenturret Triple Wood",2021-09-13,"Spirits, Whisky, Guides","one drink three ways, whisky, cocktails",430,0,0,,drop,,"One Drink, Three Ways is the signature feature by The Three Drinkers. Join The Three Drinkers’ Helena, Aidy and Colin as they take one bottle and create a trio of phenomenal serves which you can enjoy",https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-the-glenturret-triple-wood,
thursday-club-with-talk-radio-the-famous-grapes-from-piedmont-italy,"Thursday Club with talk RADIO: The famous grapes from Piedmont, Italy",2021-09-09,Thursday Club,"thursday club, talk radio, thursday club talk radio",430,0,0,,drop,,"This week on the Thursday Club, we start to feel a little more Autumnal and head to Piedmont in Italy, which always comes into it’s own at this time of year. Think truffle hunting, wild boar stews, fo",https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-the-famous-grapes-from-piedmont-italy,
what-is-pimms-fruit-cup-summer-cup,What is Pimm's?,2021-09-06,"Guides, Spirits","Plymouth Fruit Cup, The Great Summer Cup Asda, Pitchers Sainsbury’s",800,0,0,,drop,,"Pimm’s first made an appearance back in the early 19th century when it was served by its creator, James Pimm, as a tonic from a tankard to aid digestion at his oyster bar in east London. The classic P",https://www.thethreedrinkers.com/magazine-content/what-is-pimms-fruit-cup-summer-cup,
the-best-hard-seltzers,The Best Hard Seltzers Right Now!,2021-09-01,"Guides, Spirits","hard seltzer, helena nicklin",731,0,0,,drop,,"Welcome to the biggest drinks trend of the century: hard seltzers. These bubbly, lightly flavoured waters ‘spiked’ with some form of booze have taken the US by storm and are set to do the same on our ",https://www.thethreedrinkers.com/magazine-content/the-best-hard-seltzers,
thursday-club-with-talk-radio-pisco-cachaca-and-absinthe,"Thursday Club with talk RADIO: Pisco, Cachaça and Absinthe",2021-08-25,"Spirits, Cocktails","thursday club, talk radio, mike graham",727,0,0,,drop,,"It’s an international theme on The Three Drinkers this week: World drinks you’ve heard of but might not be quite sure what they are! We take a deep dive into Cachaça from Brazil, Pisco from Peru and A",https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-pisco-cachaca-and-absinthe,
what-are-the-main-styles-of-martini,Thursday Club with talkRADIO: Martini Three Ways!,2021-08-19,Thursday Club,"talk radio, talkradio, mike graham",517,0,0,,drop,,"Shaken, stirred, dirty, wet, dry, with a twist or something totally bonkers with onions, nothing says class like a Martini. What though actually is the difference between all these styles? These days,",https://www.thethreedrinkers.com/magazine-content/what-are-the-main-styles-of-martini,
what-is-pinot-noir,What is Pinot Noir?,2021-08-15,"Guides, Wine","What is Pinot Noir, Best English wines",672,0,0,,drop,,"Pinot Noir is one of the world’s most popular red wine grapes. It can taste like a red wine but feel like a white. It is light bodied and elegant, with high acidity and very low tannin and this is one",https://www.thethreedrinkers.com/magazine-content/what-is-pinot-noir,
famous-japanese-drinks-sake-umeshu,Thursday Club with talk RADIO: Japanese Sake and Umeshu,2021-08-12,Thursday Club,"talk radio, thursday club, mike graham",574,0,0,,drop,,"This week on The Thursday Club with Mike Graham on Talk Radio, it’s a Japanese special to celebrate our Olympic wins! We’ll be getting to know two of Japan’s favourite tipples a little better and perh",https://www.thethreedrinkers.com/magazine-content/famous-japanese-drinks-sake-umeshu,
thursday-club-with-talk-radio-classic-iberian-wines,Thursday Club with talk RADIO: Classic Iberian Wines,2021-08-04,Thursday Club,"talk radio, thursday club talk radio, mike graham",459,0,0,,drop,,"This week on talkRADIO, we are continuing the Iberian theme for the summer as most of us can’t get out to Spain or Portugal. I’ve gone for three wines in very different styles that you may have heard ",https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-classic-iberian-wines,
the-best-albarino-wine-talk-radio-mike-graham,Thursday Club with talk RADIO: Albariño for Albariño Day!,2021-07-28,Thursday Club,"wine, albarino, albarino day",461,0,0,,drop,,"The 1st of August is Albariño Day! Yes, another wine grape day that serves as a fantastic excuse to take a deep dive into a particular wine style. Wouldn’t it be nice if we could LITERALLY do that? To",https://www.thethreedrinkers.com/magazine-content/the-best-albarino-wine-talk-radio-mike-graham,
what-is-albarino-wine-white-wine-grapes-rias-baixas,Why Albariño from Rías Baixas is the Next Big Thing in White Wine,2021-07-26,"Wine, Guides","albarino, rias baixas, galicia",1187,0,0,,drop,,Celebrate Albariño Day on the 1st August! Check out AlbarinoDay.co.uk for details of events and promos all around the UK. We’ve seen various grape varieties take their place in the sun over the last f,https://www.thethreedrinkers.com/magazine-content/what-is-albarino-wine-white-wine-grapes-rias-baixas,
thursday-club-with-talk-radio-summer-sips-from-sainsburys,Thursday Club with talk RADIO: Summer Sips from Sainsbury's,2021-07-22,Thursday Club,"beaujolais, thursday club, talk radio",325,0,0,,drop,,"On the Thursday Club this afternoon: More summertime sips and this time, from Sainsbury’s. Here are some wines you may or may not have heard of before, but they are certainly worth chilling and bringi",https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-summer-sips-from-sainsburys,
thursday-club-with-talk-radio-quintessentially-english-drinks,Thursday Club with talk RADIO: Quintessentially English Drinks,2021-07-08,Thursday Club,"thursday club, talk radio, mike graham",364,0,0,,drop,,"As I write, England just beat Denmark in the Euros and will face Italy on Sunday in the final! What else can we do today then, than crack some English fizz and celebrate a few quintessentially English",https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-quintessentially-english-drinks,
thursday-club-with-talk-radio-top-wines-from-co-op,Thursday Club with talk RADIO: Top wines from Co-op,2021-07-01,Thursday Club,"thursday club, talk radio, thursday club talk radio",331,0,0,,drop,,"This week on the Thursday club, it’s the last in our supermarket series and this time, it’s the turn of the Co-op! I’ve chosen an impressive little white that you may not have heard of before, a simpl",https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-top-wines-from-co-op,
a-wine-travel-guide-to-kent,Your Wine Travel Guide to Kent,2021-06-25,"Guides, Travel, Wine","english wine, Best English wines, Kent",2601,0,0,,drop,,"Kent is a county in southeast England known colloquially as the Garden of England thanks to its historical importance for growing cereal crops, hops and fruit. With the increase in vineyard plantings ",https://www.thethreedrinkers.com/magazine-content/a-wine-travel-guide-to-kent,
a-pride-special-with-aidy-smith,Thursday Club with Talk Radio: A Pride Special... with Aidy!,2021-06-23,Thursday Club,"gay wine, aidy smith, the three drinkers",642,0,0,,drop,,Today’s Thursday Club is a little bit different and a little bit special because both Aidy and I are on with Mike Graham and we are celebrating Pride month with a few drinks! We’ve chosen these compan,https://www.thethreedrinkers.com/magazine-content/a-pride-special-with-aidy-smith,
great-drinks-gifts-fathers-day,Great Gifts for Father's Day,2021-06-17,"Guides, No Low Drinks, Spirits","father's day, father's day whisky, Glencairn glass",1675,0,0,,drop,,"Father’s Day is nearly upon us and it’s highly unlikely he will genuinely want new pants and socks, or so we have been told! So, this year, give him something special just for him - though he may even",https://www.thethreedrinkers.com/magazine-content/great-drinks-gifts-fathers-day,
thursday-club-with-talk-radio-top-wines-from-morrisons,Thursday Club with Talk Radio: Top Wines from Morrisons,2021-06-17,Thursday Club,"thursday club, talk radio, mike graham",385,0,0,,drop,,"It’s Thirsty Thursday and that means time for the Thursday Club with talkRADIO! This week, we continue the supermarket theme and taste three wines that impressed me from Morrisons. Two whites and red.",https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-top-wines-from-morrisons,
6-stunning-rose-wines-for-the-summer,6 Stunning Rose Wines For The Summer,2021-06-11,Wine,"wine, rose wine, pink wine",547,0,0,,drop,,"As if we needed another excuse to drink more pink, it’s International Rosé Day on June 12th! As luck would have it, we’ve been bathing in the stuff all year already, so are well placed to recommend a ",https://www.thethreedrinkers.com/magazine-content/6-stunning-rose-wines-for-the-summer,
thursday-club-with-talk-radio-waitrose-summer-whites,Thursday Club with Talk Radio: Waitrose Summer Whites,2021-06-10,Thursday Club,"wine, waitrose, white wine",358,0,0,,drop,,"Carrying on our supermarket theme for the Thursday Club on Talk radio, we look at Waitrose this week with some pretty, summer whites! How much do you know about Vinho Verde? Have you ever had Grillo w",https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-waitrose-summer-whites,
the-best-english-wines-to-try-this-summer,The Best English Wines To Try This Summer,2021-06-08,"Wine, Travel","english wine, english fizz, english sparkling wine",1225,0,0,,drop,,"June has become a time where English wine is celebrated in all its glory here in the UK and as we gradually creep out of lockdown, there are even more reasons to celebrate it as many wineries open the",https://www.thethreedrinkers.com/magazine-content/the-best-english-wines-to-try-this-summer,
thursday-club-with-talk-radio-top-tesco-picks,Thursday Club with Talk Radio: Top Tesco Picks,2021-06-02,Thursday Club,"tesco wine, tesco, talk radio",278,0,0,,drop,,"We’re still in supermarket press tasting season and so on today’s Thursday Club with Mike Graham on Talk Radio, we look at three top picks from Tesco - and they are all on a theme of Sauvignon Blanc:!",https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-top-tesco-picks,
thursday-club-with-talk-radio-bargain-wines-from-aldi,Thursday Club with talk RADIO: Bargain wines from Aldi,2021-05-27,Thursday Club,"wine, sangiovese, assyrtiko",269,0,0,,drop,,"It’s supermarket press tasting season! On today’s Thursday Club with Mike Graham on Talk Radio, we look at three ALDI wines that really impressed me for the price - and they’re all a bit of a step awa",https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-bargain-wines-from-aldi,
thursday-club-with-talkradio-rum-cocktails,Thursday Club with talkRADIO: Rum Cocktails,2021-05-20,Thursday Club,"talk radio, thursday club, mike graham",400,0,0,,drop,,"What is Rum? Rum is a spirit that is usually made by fermenting and distilling molasses (a byproduct of converting sugar cane into sugar) before ageing it in oak barrels, often old whisky ones. Most r",https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talkradio-rum-cocktails,
thursday-club-with-talk-radio-great-value-italian-wines,Thursday Club with talk RADIO: Great Value Italian Wines,2021-05-12,Thursday Club,"thursday club, thursday club talk radio, mike graham",371,0,0,,drop,,"Today on the Thursday Club with talkRADIO, we sing the praises of three Italian wine grapes you might not have heard of but certainly need to be tasted: Fiano, Nero D’Avola and Primitivo. They also of",https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-great-value-italian-wines,
thursday-club-with-talk-radio-cremant-de-bourgogne-loire-bordeaux,Thursday Club with talk RADIO: Crémant,2021-05-06,Thursday Club,"cremant, bourgogne, Loire",404,0,0,,drop,,"Today’s Thursday Club is all about Crémant: the French fizz made in the same way (the traditional method ) as Champagne, but from other regions in France, using their local grape varieties. You can ge",https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-cremant-de-bourgogne-loire-bordeaux,
best-cbd-beverages-benefits-oto,CBD Beverages with Benefits,2021-05-05,No Low Drinks,"oto, oto cbd",580,0,0,,drop,,"Here at The Three Drinkers HQ, there have been many changes to what we do and how we run the show thanks to Uncle Covid and that has meant two, key things: one, more pressure, anxiety and general over",https://www.thethreedrinkers.com/magazine-content/best-cbd-beverages-benefits-oto,
glenmorangie-sonoma-cutrer-25-year-old-whisky-rare-limited-edition,"Meet Glenmorangie’s New, Super Rare Expression",2021-04-29,"Spirits, Whisky","whisky, scotch, Glenmorangie",331,0,0,,drop,,"Dr Bill Lumsden has done it again. Known to some as Head of Distilling & Whisky Creation at The Glenmorangie Company and to others as the ‘Willy Wonka of Whisky, Bill has created another fabulous, lim",https://www.thethreedrinkers.com/magazine-content/glenmorangie-sonoma-cutrer-25-year-old-whisky-rare-limited-edition,
thursday-club-with-talk-radio-unusual-pinot-noir,Thursday Club with Talk Radio: Unusual Pinot Noir,2021-04-28,Thursday Club,"thursday club, thirsty thursday, thursday club talk radio",524,0,0,,drop,,"Thirsty Thursday means it’s time for the Thursday Club on talkRADIO! This week, it’s about Pinot Noir - ‘the heartbreak grape’, so named because due to its thin skin, it's very difficult to grow to it",https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-unusual-pinot-noir,
thursday-club-with-talk-radio-sparkling-wines,Thursday Club with Talk Radio: Sparkling Wines,2021-04-22,Thursday Club,"thursday club, talk radio, mike graham",464,0,0,,drop,,"It’s Thursday and that means it’s time for the Thursday Club on talkRADIO with Mike Graham! This week, we’re looking at key styles of fizz and what the differences are between them, featuring a Cava, ",https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-sparkling-wines,
thursday-club-with-talk-radio-best-malbec-wines,Thursday Club with Talk Radio: Malbec,2021-04-15,Thursday Club,"thursday club, talkradio, talk radio",422,0,0,,drop,,"With International Malbec Day being celebrated around the world on April 17th, today on The Thursday Club with Mike Graham on talkRADIO, we look at this red grape that has shot to fame over the last t",https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-best-malbec-wines,
thursday-club-with-talk-radio-barbecue-wines,Thursday Club with Talk Radio: Barbecue Wines,2021-04-08,Thursday Club,"talk radio, thursday club, helena nicklin",362,0,0,,drop,,"This week on the talkRadio Thursday Club with Mike Graham, we’re talking wine styles for barbecues! Here we have two rich, smoky reds, one a little lighter than the other and a cracking, textured whit",https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-barbecue-wines,
spring-wines-with-kevin-osullivan-on-talk-radio,Spring Reds: Kevin O'Sullivan on Talk Radio,2021-04-02,Wine,"pinot noir, talk radio, helena nicklin",263,0,0,,drop,,"Today, Helena spoke to Kevin O’Sullivan on talkRADIO about some perfect Easter and spring time, red wines. Fancy a soft Pinot Noir with your Sunday lamb, or how about a bright and breezy País with you",https://www.thethreedrinkers.com/magazine-content/spring-wines-with-kevin-osullivan-on-talk-radio,
thursday-club-with-talk-radio-spring-wines,Thursday Club with Talk Radio: Spring Wines,2021-04-01,Thursday Club,"thursday club, thursday club talk radio, mike graham",237,0,0,,drop,,"Intipalka Chardonnay, Vinas Queirolo, Peru, 2018 Yes, Peru. You read that right. This wine is made from vines in the Ica Valley where the Queirolo family have been making wine since 1880. The dry, sun",https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-spring-wines,
thursday-drinks-club-with-talkradio,Thursday Club with Talk RADIO: Chardonnay,2021-03-25,Thursday Club,"talk radio, talkradio, mike graham",285,0,0,,drop,,"Join Helena every Thursday with Mike Graham on talkRADIO for the Thursday Club! This week, Helena took us all on a tasting tour of the Chardonnay grape. Here’s what she tasted with Mike and where to f",https://www.thethreedrinkers.com/magazine-content/thursday-drinks-club-with-talkradio,
most-influential-women-in-drinks,5 Women in Drinks to Toast!,2021-03-08,"Wine, Whiskey, Spirits","spirits, Caleno",1161,0,0,,drop,,"Words by Helena Nicklin The world of wine and spirits has traditionally been male-dominated through the years, from winemakers and distillers to salespeople and communicators of all kinds. Happily, we",https://www.thethreedrinkers.com/magazine-content/most-influential-women-in-drinks,
virtual-online-wine-spirits-beer-cocktail-tasting-masterclass,Lockdown List: Companies running virtual wine &amp; spirits tastings,2021-03-08,"Beer, Spirits, Guides","lockdown, wine tasting",1945,0,0,,drop,,"With Lockdown not ending again for a while, we may as well try to see friends online over a glass or six. If you’ve been thinking about doing any form of online tasting, check out my tips for running ",https://www.thethreedrinkers.com/magazine-content/virtual-online-wine-spirits-beer-cocktail-tasting-masterclass,
best-mothers-day-presents-mothers-day-gift-guide-wine-cocktails-chocolate,Mother’s Day Gift Guide For Drinks Lovers,2021-03-02,"Guides, Wine, Spirits","kylie minogue, kylie minogue wine, Cartografie chocolate",917,0,0,,drop,,"Words by Helena Nicklin With Mother’s Day right around the corner, I wanted to share some of the cheeky treats that have caught my eye over the past month. Be it subscriptions, bottles, chocolates or ",https://www.thethreedrinkers.com/magazine-content/best-mothers-day-presents-mothers-day-gift-guide-wine-cocktails-chocolate,
best-drinks-for-romance-date-night-drinks-wine-vodka-gin,Perfect Drinks for Date Night,2021-02-10,"Wine, Spirits, Guides","valentine's day, Valentine's day drinks, Highclere Castle Gin",2158,0,0,,drop,,"Words by Aidy Smith and Helena Nicklin The biggest date night of the year is upon us, so be it still wine, bubbles, vodka or gin that you like to drink the most, here is Helena and Aidy’s selection of",https://www.thethreedrinkers.com/magazine-content/best-drinks-for-romance-date-night-drinks-wine-vodka-gin,
popular-scotch-whisky-distilleries-jura-fettercairn-dalmore,"A Trilogy of Fine, Scotch Whisky Distilleries to Discover",2021-02-03,"Spirits, Guides, Whisky","jura, fettercairn, The Dalmore",1780,0,0,,drop,,"This month, we celebrate the limited season launch of The Three Drinkers do Scotch Whisky on YouTube, brought to you in partnership with Whyte & Mackay. During the course of this series, we travelled ",https://www.thethreedrinkers.com/magazine-content/popular-scotch-whisky-distilleries-jura-fettercairn-dalmore,
best-cheap-champagne-tastes-good,Cheap Champagne that Tastes Great!,2021-02-02,Wine,"champagne, ALDI, Louis Delaunay",615,0,0,,drop,,Written by Helena Nicklin There is only one place in the world that makes what can officially be called ‘Champagne’ and that’s the region of the same name just south of Paris in France. Literally ever,https://www.thethreedrinkers.com/magazine-content/best-cheap-champagne-tastes-good,
havana-club-bar-entrepreneur-awards-winners,HAVANA CLUB BAR ENTREPRENEUR OF THE YEAR: The Winners,2021-02-02,Cocktails,"Havana Club, rum, cocktail",772,0,0,,drop,,"Last week, we were excited to watch the winners being crowned at the 2020 Havana Club Bar Entrepreneur Awards; a competition that recognises the passion, entrepreneurship and this year particularly, t",https://www.thethreedrinkers.com/magazine-content/havana-club-bar-entrepreneur-awards-winners,
wine-pink-prosecco-rose-budget-prosecco-best-rose-prosecco-supermarkets,Top Pink Proseccos £10 and under,2021-02-02,Wine,"prosecco, budget prosecco, ASDA",541,0,0,,drop,,"Words by Helena Nicklin It’s official. Prosecco now comes in pink! Thanks to a change in the laws that govern winemaking in the protected region of Prosecco in Northeastern Italy, winemakers are now a",https://www.thethreedrinkers.com/magazine-content/wine-pink-prosecco-rose-budget-prosecco-best-rose-prosecco-supermarkets,
best-whisky-cocktails-dalmore-mackenzie-highball-cocktail-recipe,The Dalmore Mackenzie Highball,2021-02-01,Cocktails,"whisky, whiskey, whisky cocktail",254,0,0,,drop,,"If you’re after a long, fruity tipple with a little more depth than usual, you can’t go wrong with the Dalmore Mackenzie Highball. Named after the Mackenzie Clan who became owners of the distillery in",https://www.thethreedrinkers.com/magazine-content/best-whisky-cocktails-dalmore-mackenzie-highball-cocktail-recipe,
one-drink-three-ways-the-macallan-12-year-old,"One Drink, Three Ways: The Macallan 12 Year Old Double Cask",2019-05-17,"Whisky, Spirits, Cocktails","one drink three ways, whisky, cocktails",323,168,25464,10,,AidySmith,"One Drink, Three Ways is the signature feature by The Three Drinkers. Join The Three Drinkers’ Helena, Aidy and Colin as they take one bottle and create a trio of phenomenal serves which you can enjoy",https://www.thethreedrinkers.com/magazine-content/2019/5/8/one-drink-three-ways-the-macallan-12-year-old,
best-whisky-cocktails-fettercairn-martini,The Fettercairn 1824 Martini,2021-02-01,Cocktails,"best whisky cocktails, whisky cocktails, Fettercairn 12",185,0,0,,drop,,"Fettercairn Distillery, founded in 1824, was one of the very first licensed distilleries in Scotland. Located in a small village in Aberdeenshire under the Grampian foothills in the Howe of Mearns, th",https://www.thethreedrinkers.com/magazine-content/best-whisky-cocktails-fettercairn-martini,
best-whisky-cocktails-fettercairn-tropical-highball,The Fettercairn Tropical Highball,2021-02-01,Cocktails,"whisky cocktail, whiskey cocktails, whisky",179,0,0,,drop,,"Long, light and refreshing, this is a super simple, perfect highball serve that showcases the light vibrancy of Fettercairn 12 Year Old and accentuates the tropical distillery character derived from F",https://www.thethreedrinkers.com/magazine-content/best-whisky-cocktails-fettercairn-tropical-highball,
one-drink-three-ways-glenmorangie-x,"One Drink, Three Ways: X by Glenmorangie",2021-11-16,"Spirits, Guides, Cocktails","one drink three ways, whisky, cocktails",497,142,8194,14.8,,AidySmith,"One Drink, Three Ways is the signature feature by The Three Drinkers. Join The Three Drinkers’ Helena, Aidy and Colin as they take one bottle and create a trio of phenomenal serves which you can enjoy",https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-glenmorangie-x,
how-intentional-breathing-nose-breathing-can-boost-your-health-and-happiness,How 2 minutes of intentional breathing can boost your health and happiness,2021-01-29,Balance,"dry january, dry jan, anxiety",1182,0,0,,drop,,"Mind, Sense & Soul: Breathe Navy seals. You’ve heard of them, right? The U.S. Navy's primary special operations force... You may even know some. They are HARD AS NAILS; certainly not new age, woo woo ",https://www.thethreedrinkers.com/magazine-content/how-intentional-breathing-nose-breathing-can-boost-your-health-and-happiness,
must-try-no-low-drinks,6 Must-Try No and Low Drinks,2021-01-29,Guides,"dry jan, dry january, no low",877,0,0,,drop,,"Whether you’re doing Dry January, have quit alcohol entirely, are trying to moderate or just after some new, non-alcoholic, drinky treats to try, we are always on the lookout for fabulous no-low drink",https://www.thethreedrinkers.com/magazine-content/must-try-no-low-drinks,
romantic-gin-cocktail-recipes-cotswolds-distillery,Saucy Gin Cocktails Perfect for Romantic Nights,2021-01-29,"Spirits, Cocktails","gin, valentine's day, cocktail",360,0,0,,drop,,"Whether you’re zooming with friends or having a romantic night à deux this Valentine’s Day, these pink and pretty gin creations are the perfect way to start the evening. Created by our friends at The ",https://www.thethreedrinkers.com/magazine-content/romantic-gin-cocktail-recipes-cotswolds-distillery,
havana-club-bar-entrepreneur-awards-ceremony,Havana Club 2020 Bar Entrepreneur Awards Ceremony,2021-01-23,Cocktails,"Havana Club, mixology, the three drinkers",694,0,0,,drop,,"Calling all bartenders and mixologists! The finalists have been announced for the Havana Club 2020 Bar Entrepreneur Awards. Here’s why you should watch the ceremony and get involved… At 3DHQ, we’re su",https://www.thethreedrinkers.com/magazine-content/havana-club-bar-entrepreneur-awards-ceremony,
great-scotch-whisky-alternatives-burns-night,4 Great Scotch Whisky Alternatives,2021-01-22,"Spirits, Wine, No Low Drinks","burns night, scotch whisky, helena nicklin",402,0,0,,drop,,"Words by Helena Nicklin Burns Night is upon us once again, but not everyone feels the love of Scotch whisky (crazy, we know!) Here are some drinks with a nod to Scotch whisky without actually being wh",https://www.thethreedrinkers.com/magazine-content/great-scotch-whisky-alternatives-burns-night,
best-whisky-cocktails-dalmore-old-fashioned-cocktail-recipe,The Dalmore Old Fashioned,2021-02-01,Cocktails,"whisky, whiskey, whisky cocktail",205,138,3283,5.5,,AidySmith,"Not far from Inverness overlooking the famous ‘Black Isle’, sits The Dalmore distillery. At The Dalmore, the whisky house style is dark, rich and chocolatey with notes of dried fruit, spice, vanilla a",https://www.thethreedrinkers.com/magazine-content/best-whisky-cocktails-dalmore-old-fashioned-cocktail-recipe,
